workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,error
234,condition1,female,hippie,1,NA,hippie_guy2,hippie_girl2,premiere_crit,4,-15,none,Morgan,Dakota,male,low,8:00,1,0.4479166666666667,crit,
234,condition1,male,fill,NA,1,filler_girl3,filler_guy2,phone_fill,6,-15,15,Casey,Taylor,female,low,none,2,0.19043333333333337,fill,
234,condition1,female,fill,NA,2,filler_guy4,filler_girl2,store_fill,5,-20,10,Riley,Jessie,male,high,none,3,0.34235,fill,
234,condition1,female,hippie,2,NA,hippie_guy1,hippie_girl1,bank_crit,3,-16,none,Quinn,Devin,male,high,3:00,4,0.33103333333333335,crit,
234,condition1,male,fill,NA,3,filler_girl1,filler_guy1,coffee_fill,7,-11,5,Alex,Jordan,female,high,none,5,0.29495,fill,
234,condition1,female,fill,NA,4,filler_guy3,filler_girl4,restaurant_fill,5,-15,20,Ash,Skyler,male,low,none,6,0.23485,fill,
234,condition1,female,nerd,3,NA,nerd_girl2,nerd_girl1,airport_crit,4,-10,none,Kendall,Jamie,female,low,9:30,7,0.20876666666666663,crit,
234,condition1,male,nerd,4,NA,nerd_guy1,nerd_guy2,shopping_crit,2,-11,none,Sam,Shawn,male,high,1:30,8,0.4492,crit,
569,condition1,female,nerd,1,NA,nerd_girl1,nerd_girl2,airport_crit,7,-5,none,Jessie,Kendall,female,low,8:00,1,1.3309333333333333,crit,
569,condition1,female,fill,NA,1,filler_girl3,filler_girl4,phone_fill,8,-12,5,Shawn,Casey,female,low,none,2,0.58465,fill,
569,condition1,male,fill,NA,2,filler_girl1,filler_guy1,store_fill,16,-19,15,Dakota,Sam,female,high,none,3,0.6961166666666667,fill,
569,condition1,female,hippie,2,NA,hippie_girl1,hippie_girl2,shopping_crit,4,-6,none,Alex,Devin,female,high,3:00,4,0.7047833333333333,crit,
569,condition1,male,hippie,3,NA,hippie_guy1,hippie_guy2,premiere_crit,5,-5,none,Skyler,Jamie,male,low,1:30,5,0.47613333333333335,crit,
569,condition1,male,nerd,4,NA,nerd_guy1,nerd_guy2,bank_crit,4,-5,none,Ash,Jordan,male,high,9:30,6,0.4050666666666667,crit,
569,condition1,male,fill,NA,3,filler_guy3,filler_guy2,coffee_fill,13,-19,10,Morgan,Taylor,male,high,none,7,0.4222666666666667,fill,
569,condition1,female,fill,NA,4,filler_guy4,filler_girl2,restaurant_fill,10,-20,20,Riley,Quinn,male,low,none,8,0.3716,fill,
170,condition1,female,nerd,1,NA,nerd_guy1,nerd_girl2,airport_crit,1,-4,none,Shawn,Casey,male,low,8:00,1,0.12386666666666668,crit,
170,condition1,male,hippie,2,NA,hippie_girl1,hippie_guy2,premiere_crit,0,-7,none,Jamie,Riley,female,low,9:30,2,0.11676666666666669,crit,
170,condition1,male,fill,NA,1,filler_guy2,filler_guy3,store_fill,-6,-20,5,Jessie,Devin,male,high,none,3,0.2389166666666667,fill,
170,condition1,male,fill,NA,2,filler_girl1,filler_guy1,phone_fill,0,-19,10,Alex,Morgan,female,low,none,4,0.21381666666666663,fill,
170,condition1,female,fill,NA,3,filler_guy4,filler_girl2,restaurant_fill,-4,-18,15,Dakota,Skyler,male,low,none,5,0.14,fill,
170,condition1,female,nerd,3,NA,nerd_guy2,nerd_girl1,bank_crit,0,-20,none,Kendall,Ash,male,high,1:30,6,0.3203666666666667,crit,
170,condition1,female,fill,NA,4,filler_girl3,filler_girl4,coffee_fill,0,-19,20,Quinn,Taylor,female,high,none,7,0.12986666666666666,fill,
170,condition1,female,hippie,4,NA,hippie_guy1,hippie_girl2,shopping_crit,2,-2,none,Sam,Jordan,male,high,3:00,8,0.24666666666666667,crit,
534,condition1,female,hippie,1,NA,hippie_guy1,hippie_girl1,airport_crit,-3,-5,none,Quinn,Alex,male,low,9:30,1,1.1285166666666666,crit,
534,condition1,male,hippie,2,NA,hippie_girl2,hippie_guy2,premiere_crit,0,-9,none,Casey,Sam,female,low,3:00,2,0.5471833333333334,crit,
534,condition1,male,nerd,3,NA,nerd_girl1,nerd_guy1,shopping_crit,0,-10,none,Riley,Taylor,female,high,1:30,3,0.41101666666666664,crit,
534,condition1,male,fill,NA,1,filler_girl3,filler_guy4,coffee_fill,10,-11,5,Morgan,Ash,female,high,none,4,0.9971333333333332,fill,
534,condition1,male,fill,NA,2,filler_guy1,filler_guy2,phone_fill,10,-15,10,Jessie,Dakota,male,low,none,5,0.6370166666666667,fill,
534,condition1,male,fill,NA,3,filler_girl1,filler_guy3,restaurant_fill,18,-17,15,Skyler,Kendall,female,low,none,6,0.2316,fill,
534,condition1,male,nerd,4,NA,nerd_girl2,nerd_guy2,bank_crit,1,-14,none,Devin,Jordan,female,high,8:00,7,0.29455,crit,
534,condition1,female,fill,NA,4,filler_girl4,filler_girl2,store_fill,17,-15,20,Jamie,Shawn,female,high,none,8,0.18096666666666664,fill,
551,condition1,male,nerd,1,NA,nerd_girl1,nerd_guy1,premiere_crit,8,-5,none,Kendall,Sam,female,low,8:00,1,0.54825,crit,
551,condition1,female,hippie,2,NA,hippie_guy1,hippie_girl2,airport_crit,5,-5,none,Devin,Skyler,male,low,1:30,2,0.27391666666666664,crit,
551,condition1,female,fill,NA,1,filler_girl3,filler_girl4,coffee_fill,0,-4,5,Jamie,Jessie,female,high,none,3,0.5546,fill,
551,condition1,male,fill,NA,2,filler_guy1,filler_guy3,store_fill,0,-3,20,Ash,Riley,male,high,none,4,0.17846666666666666,fill,
551,condition1,female,fill,NA,3,filler_guy2,filler_girl1,restaurant_fill,9,-10,15,Taylor,Casey,male,low,none,5,0.17205,fill,
551,condition1,female,fill,NA,4,filler_guy4,filler_girl2,phone_fill,2,-4,10,Alex,Dakota,male,low,none,6,0.16951666666666668,fill,
551,condition1,female,hippie,3,NA,hippie_guy2,hippie_girl1,bank_crit,0,-3,none,Morgan,Quinn,male,high,9:30,7,0.16511666666666666,crit,
551,condition1,male,nerd,4,NA,nerd_girl2,nerd_guy2,shopping_crit,0,-4,none,Jordan,Shawn,female,high,3:00,8,0.19585,crit,
185,condition1,female,hippie,1,NA,hippie_girl2,hippie_girl1,premiere_crit,0,0,none,Alex,Quinn,female,low,9:30,1,0.38185,crit,
185,condition1,female,fill,NA,1,filler_guy1,filler_girl3,coffee_fill,11,-16,15,Morgan,Casey,male,high,none,2,0.2601,fill,
185,condition1,female,nerd,2,NA,nerd_guy2,nerd_girl2,bank_crit,0,0,none,Sam,Ash,male,high,1:30,3,0.11218333333333332,crit,
185,condition1,female,nerd,3,NA,nerd_guy1,nerd_girl1,airport_crit,0,0,none,Shawn,Jessie,male,low,8:00,4,0.07411666666666666,crit,
185,condition1,female,fill,NA,2,filler_girl4,filler_girl2,store_fill,11,-11,5,Devin,Jordan,female,high,none,5,0.14236666666666667,fill,
